Timestamp: 2024-03-24 14:03:38, Arduino Data: {'Humidity': 21}
Timestamp: 2024-03-24 14:03:38, Arduino Data: {'Humidity': 21}
Timestamp: 2024-03-24 14:03:43, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.72, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:03:43, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.72, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:03:48, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.67, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 21}
Timestamp: 2024-03-24 14:03:48, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.67, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 21}
Timestamp: 2024-03-24 14:03:53, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.54, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:03:53, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.54, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:04:00, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.61, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
Timestamp: 2024-03-24 14:04:00, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.61, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
Timestamp: 2024-03-24 14:04:04, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.61, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:04:04, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.61, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:04:09, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.59, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:04:09, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.59, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:24:24, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.53, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:24:24, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.53, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:24:29, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.51, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:24:29, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.51, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:24:36, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.5, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 191}
Timestamp: 2024-03-24 14:24:36, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.5, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 191}
Timestamp: 2024-03-24 14:24:40, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.48, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 19}
Timestamp: 2024-03-24 14:24:40, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.48, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 19}
Timestamp: 2024-03-24 14:24:45, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.41, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:24:45, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.41, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:24:50, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.43, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:24:50, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.43, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:24:55, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.46, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 14:24:55, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.46, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:22:25, Arduino Data: {'as PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:22:25, Arduino Data: {'as PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:22:30, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.64, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:22:30, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.64, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:22:35, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.63, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 18}
Timestamp: 2024-03-24 15:22:35, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.63, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 18}
Timestamp: 2024-03-24 15:22:40, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.48, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 21}
Timestamp: 2024-03-24 15:22:40, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.48, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 21}
Timestamp: 2024-03-24 15:22:45, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.54, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
Timestamp: 2024-03-24 15:22:45, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.54, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
